General_2016-11-08,Runoff_2016-05-24,Primary_2016-03-01,Runoff_2015-12-12,General_2014-11-04,Runoff_2014-08-05,Runoff_2014-05-27,Primary_2014-03-04,Runoff_2013-12-14,Runoff_2013-03-02,General_2012-11-06,Runoff_2012-07-31,Primary_2012-05-29,Runoff_2011-12-10,General_2010-11-02,Primary_2010-03-02,Residence_Families_HHCount,Residence_HHGender_Description,Residence_HHParties_Description,Voters_Gender,Voters_Age,EthnicGroups_EthnicGroup1Desc,Religions_Description,MaritalStatus_Description,EstimatedIncome,Education,ReligiousContributorInHome,PoliticalContributerInHome,DonatesEnvironmentCauseInHome,DonatesToCharityInHome,Donates to Local Community,State_Senate_District,Local_Municipal_Sum,Times_Voted,Parties_Description,GetOut,preference
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,1,Female Only Household,Democratic,F,62,European,Unknown,Unknown,"<50,000",Some_College,0,0,Unknown,Unknown,Unknown,s17,0,2,Democratic,N,Y
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Republican,F,78,European,Protestant,Unknown,"50,000 - 100,000",Unknown,1,0,Unknown,Yes,Unknown,s17,0,7,Republican,Y,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Male Only Household,Democratic,M,50,European,Catholic,Unknown,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,6,Democratic,N,N
Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,M,36,European,Protestant,Married,"150,000 - 200,000",Bachelors,0,0,Unknown,Unknown,Unknown,s17,0,5,Democratic,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Independent,M,33,European,Unknown,Unknown,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Yes,s17,0,1,Non-Partisan,N,Y
Y,N,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,3,Mixed Gender Household,Republican,F,80,European,Catholic,Unknown,"50,000 - 100,000",Graduate,1,1,Unknown,Yes,Yes,s17,0,9,Republican,N,N
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,1,Female Only Household,Republican,F,59,European,Protestant,Unknown,"50,000 - 100,000",Graduate,2+,2+,Unknown,Unknown,Yes,s17,0,12,Republican,N,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,N,2,Mixed Gender Household,Republican,M,30,European,Unknown,Married,"50,000 - 100,000",Graduate,0,0,Unknown,Unknown,Unknown,s17,0,8,Republican,N,N
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,1,Female Only Household,Republican,F,62,European,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,12,Republican,N,N
Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,1,Female Only Household,Republican,F,52,Hispanic and Portuguese,Unknown,Unknown,"50,000 - 100,000",Some_College,0,0,Unknown,Unknown,Unknown,s15,0,2,Republican,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,1,Male Only Household,Democratic,M,54,European,Unknown,Unknown,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,5,Democratic,Y,Y
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,F,62,European,Protestant,Married,">200,000",Bachelors,0,1,Unknown,Yes,Unknown,s17,0,5,Democratic,N,Y
Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,Y,Y,2,Mixed Gender Household,Democratic & Republican,F,75,European,Protestant,Married,"150,000 - 200,000",Bachelors,2+,1,Unknown,Yes,Yes,s17,0,10,Democratic,N,N
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,2,Mixed Gender Household,Republican,F,44,European,Unknown,Married,">200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,10,Republican,N,N
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,2,Mixed Gender Household,Republican,F,72,European,Protestant,Married,">200,000",Graduate,1,1,Unknown,Yes,Yes,s17,0,12,Republican,Y,Y
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,3,Mixed Gender Household,Republican,F,72,European,Catholic,Married,"150,000 - 200,000",Graduate,0,1,Unknown,Yes,Unknown,s17,0,2,Republican,Y,Y
Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Democratic,M,31,European,Unknown,Married,"50,000 - 100,000",HighSchool,0,0,Unknown,Unknown,Unknown,s17,0,4,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,M,46,East and South Asian,Unknown,Unknown,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,6,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,1,Female Only Household,Democratic,F,50,East and South Asian,Unknown,Unknown,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,4,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,2,Mixed Gender Household,Republican,M,74,European,Catholic,Married,">200,000",Bachelors,0,1,Unknown,Yes,Yes,s17,0,8,Republican,N,N
Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,4+,Mixed Gender Household,Democratic,F,30,Hispanic and Portuguese,Unknown,Unknown,"50,000 - 100,000",HighSchool,0,0,Unknown,Yes,Unknown,s6,0,4,Democratic,N,N
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,2,Female Only Household,Republican,F,58,European,Catholic,Unknown,"<50,000",Bachelors,0,1,Unknown,Yes,Unknown,s6,0,8,Republican,Y,Y
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,2,Mixed Gender Household,Democratic,F,84,Hispanic and Portuguese,Catholic,Unknown,"<50,000",Less_HighSchool,1,0,Unknown,Yes,Unknown,s6,0,3,Democratic,Y,Y
Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,2,Mixed Gender Household,Democratic,F,57,European,Protestant,Unknown,"100,00 - 150,000",HighSchool,2+,2+,Unknown,Yes,Unknown,s6,0,12,Democratic,N,N
Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Republican,F,65,European,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,3,Republican,N,N
Y,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,Y,Y,3,Mixed Gender Household,Democratic,M,59,Hispanic and Portuguese,Catholic,Married,"<50,000",HighSchool,0,0,Unknown,Unknown,Unknown,s6,0,7,Democratic,N,Y
Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,4+,Mixed Gender Household,Democratic & Republican,F,60,European,Protestant,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,6,Democratic,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,3,Mixed Gender Household,Democratic,F,43,Likely African-American,Unknown,Unknown,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,6,Democratic,N,Y
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,3,Female Only Household,Democratic,F,28,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,4,Democratic,N,Y
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,1,Male Only Household,Democratic,M,35,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,3,Democratic,N,N
Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,1,Male Only Household,Democratic,M,74,Likely African-American,Protestant,Unknown,"50,000 - 100,000",Bachelors,0,0,Unknown,Unknown,Unknown,s13,0,11,Democratic,Y,Y
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Male Only Household,Democratic,M,42,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,5,Democratic,N,N
Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,2,Mixed Gender Household,Democratic,F,74,Likely African-American,Protestant,Unknown,"<50,000",HighSchool,0,1,Unknown,Yes,Yes,s15,0,12,Democratic,Y,Y
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,3,Mixed Gender Household,Democratic,M,83,Likely African-American,Protestant,Married,"<50,000",Bachelors,0,2+,Unknown,Yes,Unknown,s13,0,13,Democratic,Y,Y
Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,3,Female Only Household,Democratic,F,83,Likely African-American,Protestant,Unknown,"<50,000",Some_College,1,1,Unknown,Yes,Unknown,s13,0,4,Democratic,N,Y
Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,Y,Y,1,Male Only Household,Democratic,M,57,Hispanic and Portuguese,Catholic,Unknown,"<50,000",Bachelors,0,1,Unknown,Yes,Unknown,s6,0,10,Democratic,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Independent,F,60,European,Protestant,Unknown,"150,000 - 200,000",Some_College,0,0,Unknown,Unknown,Unknown,s15,0,1,Non-Partisan,Y,Y
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,2,Mixed Gender Household,Republican,M,66,,Unknown,Non-Traditional,"50,000 - 100,000",HighSchool,0,0,Unknown,Unknown,Unknown,s15,0,11,Republican,Y,Y
Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,F,78,European,Catholic,Married,"50,000 - 100,000",Graduate,1,1,Unknown,Yes,Yes,s15,0,8,Democratic,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,Male Only Household,Democratic,M,60,European,Unknown,Unknown,"<50,000",Some_College,0,0,Unknown,Unknown,Unknown,s15,0,1,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic & Republican,M,55,European,Protestant,Non-Traditional,"50,000 - 100,000",Bachelors,0,0,Unknown,Yes,Unknown,s15,0,6,Republican,N,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,Y,4+,Mixed Gender Household,Republican,F,76,European,Jewish,Married,"<50,000",HighSchool,0,2+,Unknown,Yes,Yes,s15,0,9,Republican,N,N
Y,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,Y,Y,1,Female Only Household,Democratic,F,65,European,Protestant,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Yes,s15,0,8,Democratic,N,Y
Y,N,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,2,Mixed Gender Household,Republican,F,52,European,Protestant,Non-Traditional,"50,000 - 100,000",Some_College,0,0,Unknown,Unknown,Unknown,s6,0,9,Republican,N,Y
Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,2,Mixed Gender Household,Republican,M,63,European,Unknown,Married,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Yes,s6,0,4,Republican,N,Y
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,3,Mixed Gender Household,Democratic,F,50,Likely African-American,Protestant,Married,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,0,7,Democratic,N,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,Y,4+,Mixed Gender Household,Democratic,M,67,Likely African-American,Unknown,Non-Traditional,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,9,Democratic,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Democratic,F,68,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,5,Democratic,N,Y
Y,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,3,Mixed Gender Household,Democratic,M,28,Hispanic and Portuguese,Catholic,Unknown,"50,000 - 100,000",HighSchool,0,1,Unknown,Yes,Unknown,s6,0,5,Democratic,Y,Y
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Republican,F,41,European,Protestant,Non-Traditional,">200,000",Bachelors,0,0,Unknown,Unknown,Unknown,s17,0,3,Republican,N,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,Y,Y,1,Female Only Household,Democratic,F,74,Other,Protestant,Unknown,"<50,000",Graduate,0,0,Unknown,Unknown,Unknown,s17,0,10,Democratic,Y,Y
Y,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,Y,N,2,Mixed Gender Household,Democratic & Republican,M,77,,Unknown,Married,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,7,Republican,Y,Y
Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,2,Mixed Gender Household,Democratic,F,80,,Unknown,Married,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,5,Democratic,N,Y
Y,N,Y,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,Y,3,Mixed Gender Household,Republican,M,61,European,Jewish,Married,"100,00 - 150,000",Graduate,0,1,Unknown,Yes,Yes,s17,0,8,Republican,N,Y
Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,Y,Y,2,Mixed Gender Household,Republican,F,63,European,Protestant,Married,"100,00 - 150,000",Graduate,0,1,Unknown,Yes,Unknown,s17,0,10,Republican,N,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,Y,2,Mixed Gender Household,Democratic,F,76,,Jewish,Married,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,9,Democratic,N,Y
Y,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,N,3,Mixed Gender Household,Republican,F,68,European,Catholic,Married,"<50,000",HighSchool,1,1,Unknown,Yes,Yes,s17,0,7,Republican,N,N
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Republican,F,48,European,Protestant,Married,">200,000",Graduate,0,0,Unknown,Unknown,Unknown,s17,0,2,Republican,Y,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,Y,2,Mixed Gender Household,Democratic,M,78,European,Jewish,Married,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,7,Democratic,Y,N
Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,2,Mixed Gender Household,Republican,M,41,,Unknown,Married,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,6,Republican,Y,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,3,Mixed Gender Household,Republican,M,61,European,Jewish,Married,">200,000",Graduate,0,0,Unknown,Yes,Yes,s17,0,8,Republican,Y,Y
Y,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,3,Mixed Gender Household,Democratic,F,70,European,Jewish,Unknown,"50,000 - 100,000",Bachelors,0,1,Unknown,Unknown,Unknown,s17,0,11,Democratic,N,N
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,3,Mixed Gender Household,Republican,M,85,European,Protestant,Married,"<50,000",Bachelors,0,2+,Unknown,Unknown,Unknown,s17,0,13,Republican,Y,Y
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Republican,M,47,European,Protestant,Married,">200,000",Graduate,0,1,Unknown,Yes,Yes,s17,0,5,Republican,Y,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,3,Mixed Gender Household,Democratic,F,74,East and South Asian,Other,Unknown,">200,000",Graduate,1,2+,Unknown,Yes,Yes,s17,0,6,Democratic,N,Y
Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,4+,Mixed Gender Household,Democratic & Republican,M,61,European,Protestant,Married,"150,000 - 200,000",Graduate,0,1,Unknown,Yes,Yes,s17,0,3,Republican,N,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,2,Mixed Gender Household,Republican,M,71,European,Protestant,Married,"150,000 - 200,000",Graduate,0,0,Unknown,Unknown,Unknown,s17,0,9,Republican,N,Y
Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,Y,3,Mixed Gender Household,Democratic,F,73,European,Protestant,Unknown,"<50,000",Some_College,0,0,Unknown,Unknown,Unknown,s17,0,9,Democratic,N,Y
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Democratic,F,48,European,Protestant,Married,"100,00 - 150,000",Graduate,0,0,Unknown,Unknown,Unknown,s17,0,2,Democratic,N,Y
Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,3,Mixed Gender Household,Republican,M,63,European,Protestant,Married,"100,00 - 150,000",Graduate,0,1,Unknown,Yes,Yes,s17,0,9,Republican,N,Y
Y,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,Y,3,Mixed Gender Household,Republican,M,66,European,Unknown,Married,">200,000",Graduate,0,0,Unknown,Unknown,Unknown,s17,0,7,Republican,N,N
Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,M,64,,Unknown,Married,"150,000 - 200,000",HighSchool,0,1,Unknown,Yes,Unknown,s17,0,5,Democratic,Y,Y
Y,N,Y,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,2,Mixed Gender Household,Republican,M,82,European,Unknown,Married,"150,000 - 200,000",Graduate,0,0,Unknown,Yes,Unknown,s17,0,9,Republican,N,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,Y,Y,2,Mixed Gender Household,Republican,F,73,European,Protestant,Non-Traditional,"<50,000",Graduate,1,2+,Unknown,Yes,Unknown,s17,0,10,Republican,N,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,2,Mixed Gender Household,Republican,F,76,European,Protestant,Married,"150,000 - 200,000",Unknown,1,1,Unknown,Yes,Yes,s17,0,11,Republican,Y,Y
Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,M,77,Other,Unknown,Married,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,5,Democratic,N,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,2,Mixed Gender Household,Republican,F,76,European,Unknown,Married,"150,000 - 200,000",Unknown,0,0,Unknown,Unknown,Unknown,s17,0,11,Republican,N,N
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Democratic & Republican,F,63,Other,Unknown,Married,"100,00 - 150,000",Graduate,0,0,Unknown,Yes,Unknown,s17,0,4,Democratic,Y,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,2,Mixed Gender Household,Republican,M,67,European,Unknown,Married,"100,00 - 150,000",Graduate,0,0,Unknown,Unknown,Unknown,s17,0,12,Republican,Y,N
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,2,Mixed Gender Household,Republican,M,68,European,Protestant,Married,"100,00 - 150,000",Bachelors,1,0,Unknown,Unknown,Unknown,s17,0,11,Republican,Y,Y
Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,F,59,European,Protestant,Married,">200,000",Bachelors,0,1,Unknown,Unknown,Unknown,s17,0,4,Democratic,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,N,3,Mixed Gender Household,Republican,F,67,,Unknown,Married,"100,00 - 150,000",Some_College,1,1,Unknown,Yes,Yes,s17,0,7,Republican,N,Y
Y,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Republican,F,42,European,Protestant,Married,">200,000",Bachelors,0,1,Unknown,Yes,Unknown,s17,0,5,Republican,N,Y
Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,2,Mixed Gender Household,Republican,F,60,European,Protestant,Married,"50,000 - 100,000",HighSchool,0,1,Unknown,Yes,Unknown,s15,0,13,Republican,N,N
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,Male Only Household,Independent,M,43,European,Unknown,Unknown,"50,000 - 100,000",Some_College,0,0,Unknown,Unknown,Unknown,s15,0,2,Non-Partisan,Y,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,Y,4+,Mixed Gender Household,Republican,F,69,European,Protestant,Married,"50,000 - 100,000",Some_College,1,1,Unknown,Yes,Yes,s15,0,8,Republican,Y,Y
Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,Y,Y,N,1,Female Only Household,Democratic,F,65,Likely African-American,Protestant,Unknown,"<50,000",Graduate,0,0,Unknown,Unknown,Unknown,s13,0,6,Democratic,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,Y,2,Mixed Gender Household,Democratic,F,66,Likely African-American,Protestant,Married,"<50,000",Bachelors,1,1,Unknown,Yes,Yes,s13,0,9,Democratic,N,Y
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,3,Mixed Gender Household,Republican,M,26,European,Protestant,Unknown,"50,000 - 100,000",HighSchool,0,1,Unknown,Yes,Yes,s6,0,2,Republican,N,N
Y,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,4+,Mixed Gender Household,Democratic,M,46,Hispanic and Portuguese,Unknown,Married,"<50,000",Some_College,0,0,Unknown,Unknown,Unknown,s6,0,6,Democratic,N,Y
Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic,F,69,Hispanic and Portuguese,Catholic,Unknown,"<50,000",Bachelors,1,1,Unknown,Yes,Yes,s6,0,7,Democratic,N,N
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,4+,Mixed Gender Household,Republican,M,63,European,Catholic,Married,"100,00 - 150,000",HighSchool,0,1,Unknown,Yes,Unknown,s6,0,2,Republican,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,Female Only Household,Independent,F,30,European,Unknown,Unknown,"<50,000",Bachelors,0,0,Unknown,Unknown,Unknown,s17,0,1,Non-Partisan,N,N
Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,1,Female Only Household,Independent,F,58,European,Protestant,Unknown,"100,00 - 150,000",Graduate,0,0,Unknown,Unknown,Unknown,s6,0,3,Non-Partisan,N,Y
Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,2,Mixed Gender Household,Democratic,F,67,European,Unknown,Married,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s6,0,6,Democratic,Y,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,1,Female Only Household,Republican,F,73,European,Protestant,Unknown,"50,000 - 100,000",Some_College,0,0,Unknown,Yes,Yes,s6,1,13,Republican,N,N
Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Democratic,M,43,Hispanic and Portuguese,Unknown,Unknown,"50,000 - 100,000",HighSchool,0,0,Unknown,Unknown,Unknown,s13,0,2,Democratic,N,N
Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Republican,F,47,European,Unknown,Married,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,4,Republican,Y,N
Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Democratic,M,34,European,Jewish,Non-Traditional,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,3,Democratic,N,N
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,2,Mixed Gender Household,Republican,M,51,European,Protestant,Married,"50,000 - 100,000",Bachelors,0,1,Unknown,Yes,Unknown,s15,0,10,Republican,N,Y
Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,2,Mixed Gender Household,Republican,M,35,European,Unknown,Married,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,3,Republican,N,N
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,2,Female Only Household,Independent,F,53,European,Catholic,Unknown,"50,000 - 100,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,4,Non-Partisan,Y,N
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,Y,Y,1,Male Only Household,Republican,M,50,Likely African-American,Protestant,Unknown,"50,000 - 100,000",Graduate,0,1,Unknown,Yes,Yes,s15,0,8,Republican,N,Y
Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,1,Female Only Household,Democratic,F,41,Likely African-American,Unknown,Unknown,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,6,Democratic,Y,Y
Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Democratic,F,37,Likely African-American,Protestant,Non-Traditional,"50,000 - 100,000",HighSchool,0,0,Unknown,Unknown,Unknown,s13,0,2,Democratic,N,N
Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,2,Mixed Gender Household,Democratic & Republican,M,59,Hispanic and Portuguese,Unknown,Married,">200,000",Graduate,0,0,Unknown,Unknown,Unknown,s13,0,4,Democratic,Y,Y
Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,2,Mixed Gender Household,Republican,M,65,European,Unknown,Married,"100,00 - 150,000",Unknown,0,0,Unknown,Unknown,Unknown,s13,1,10,Republican,N,N
Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,2,Male Only Household,Democratic,M,46,Likely African-American,Unknown,Unknown,"50,000 - 100,000",Some_College,0,0,Unknown,Unknown,Unknown,s13,0,4,Democratic,N,N
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,Mixed Gender Household,Democratic,F,30,Likely African-American,Unknown,Non-Traditional,"<50,000",Unknown,0,0,Unknown,Unknown,Unknown,s15,0,1,Democratic,N,N
Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,1,Male Only Household,Republican,M,53,Hispanic and Portuguese,Catholic,Unknown,"50,000 - 100,000",Graduate,0,0,Unknown,Yes,Unknown,s15,0,3,Republican,N,Y
Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1,Female Only Household,Independent,F,58,European,Protestant,Unknown,"50,000 - 100,000",Graduate,0,1,Unknown,Yes,Unknown,s15,0,1,Non-Partisan,N,N
Y,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,Y,1,Male Only Household,Democratic,M,62,Likely African-American,Protestant,Unknown,"100,00 - 150,000",HighSchool,0,0,Unknown,Unknown,Unknown,s15,0,9,Democratic,N,Y
